ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
data management for earth system science,data management system for grid and portal services,j frew;j dozier,p grzybowski;c mazurek;m wolski,sigmod record,,1997,1997.6
editor ¡¯s notes,editor ¡¯s notes,l liu,sb merriam,sigmod record,new directions for adult and continuing education,2003,1997.6
an efficient method for checking object-oriented database schema correctness,querying object-oriented databases,a formica;h grÑ–ger;m missikoff,m kifer,acm trans . database syst .,,1998,1997.6
improving timeliness in real-time secure database systems,a concurrency control protocol for read-only transactions in real-time secure database systems,s son;r david;b thuraisingham,h han;s park;c park,sigmod record,,1996,1997.6
title;foreword,foreword,,ja wheeler,,numerical astrophysics,1994,1985
loading a cache with query results,loading a cache with query results,l haas;d kossmann;i ursu,lm haas,vldb,proceedings of the international conference on very large & hellip,1999,1999
static detection of security flaws in object-oriented databases,design and implementation of the rol deductive object-oriented database system,k tajima,m liu,sigmod conference,journal of intelligent information systems,1996,2000
similarity-based queries for time series data,similarity-based queries for time series data,d rafiei;a mendelzon,pl altick;d rafiei;a mendelzon,sigmod conference,sigmod rec,1997,1997
answering queries using views : a survey,answering queries using views,a halevy,ay levy;ao mendelzon;y sagiv;d srivastava,vldb j.,,2001,1997.6
efficient algorithms for mining outliers from large data sets,an efficient algorithm for mining frequent closed itemsets,s ramaswamy;r rastogi;k shim,j pei;j han;r mao,sigmod conference,proc . of the 2000 acm-sigmod intÃ¢ ?? l conf . on management of & hellip,2000,1997.6
querying a multilevel database : a logical analysis,querying atsql databases with temporal logic,f cuppens,fb vej;wl branch;o toronto,vldb,,1996,1997.6
m-tree : an efficient access method for similarity search in metric spaces,andb . seeger . the r * - tree : an efficient and robust access method for points and rectangles,p ciaccia;m patella;p zezula,n beckmann;hp kriegel;r schneider,vldb,proc . sigmod conf . on management of data,1997,1997.6
approximate query processing using wavelets,sequence query processing,k chakrabarti;m garofalakis;r rastogi;k shim,p seshadri;m livny;r ramakrishnan,vldb,proc . of the 1994 acm sigmod intl. conf . on management of & hellip,2000,1994
efficiently publishing relational data as xml documents,efficiency of nesting relational document database systems,j shanmugasundaram;e shekita;r barr;m carey;b lindsay;h pirahesh;b reinwald,j zobel;ja thom;r sacks-davis,vldb j.,,2001,1997.6
bringing order to query optimization,a ddsm for relational query optimization,g slivinskas;c jensen;r snodgrass,bml kerschberg,sigmod record,proc . acm annual conference,2002,1997.6
using quantitative information for efficient association rule generation,mining quantitative association rules in large tables,b pÑ”ssas;w jr.;m carvalho;r resende,r srikant;r agrawal,sigmod record,,2000,1997.6
guest editor ¡¯s introduction,software metrics : guest editor ¡¯s introduction,,b curtis,,tse,2002,1997.6
multi-dimensional substring selectivity estimation,clustering moving objects for spatio-temporal selectivity estimation,h jagadish;o kapitskaia;r ng;d srivastava,q zhang;x lin,vldb,,1999,1997.6
dynamic multi-resource load balancing in parallel database systems,dynamic load balancing in hierarchical parallel database systems,e rahm;r marek,l bouganim;d florescu;p valduriez,vldb,rapport de recherche-institut national de recherche en & hellip,1995,1996
eager aggregation and lazy aggregation,online aggregation,w yan;p larson,jm hellerstein,vldb,,1995,1997.6
index research : forest or trees ? ( panel abstract ),index research ( panel session ) : forest or trees ?,j hellerstein,jm hellerstein;hp kriegel;d comet;c falsutsos,sigmod conference,acm computing surveys,2000,1997.6
the pointcast network,the pointcast network,s ramakrishnan;v dayal,s ramakrishnan;v dayal,sigmod conference,,1998,1997.6
s3 : similarity search in cad database systems,similarity searching in medical image databases,s berchtold;h kriegel,egm petrakis;c faloutsos,sigmod conference,,1997,1997.6
query unnesting in object-oriented databases,a model of methods access authorization in object-oriented databases,l fegaras,eb fernandez;mm larrondo-petrie;e gudes,sigmod conference,proc . of the 19th vldb conference;dublin,1998,1997.6
probabilistic temporal databases;i : algebra,the theory of probabilistic databases,a dekhtyar;r ross;v subrahmanian,r cavallo;m pittarelli,acm trans . database syst .,vldb,2001,1987
mariposa : a wide-area distributed database system,Ã¢ ?? distributed database systems : where are we ?,m stonebraker;p aoki;w litwin;a pfeffer;a sah;j sidell;c staelin;a yu,t ozsu;p valduriez,vldb j.,ieee computer,1996,1997.6
a performance study of transitive closure algorithms,performance evaluation of algorithms for transitive closure,s dar;r ramakrishnan,r kabler;ye ioannidis;mj carey,sigmod conference,information systems,1994,1992
query previews for networked information systems : a case study with nasa environmental data,query previews for networked information systems : a case study with nasa environmental data,k doan;c plaisant;b shneiderman;t bruns,q previews,sigmod record,,1997,1997.6
algebraic query optimisation for database programming languages,query optimization for an xml query language,a poulovassilis;c small,j mchugh;j widom,vldb j.,proc . sigmod conf,1996,1997.6
toward network data independence,data description for data independence,j hellerstein,wc mcgee,sigmod record,acm sigmod record,2003,1969
mindreader : querying databases through multiple examples,mindreader : querying databases through multiple examples,y ishikawa;r subramanya;c faloutsos,yirsc faloutsost,vldb,,1998,1997.6
caching technologies for web applications,tutorial : caching technologies for web applications,c mohan,c mohan,vldb,27th international conference on very large data bases ( vldb & hellip,2001,1997.6
editor ¡¯s notes,editor ¡¯s notes,l liu,sb merriam,sigmod record,new directions for adult and continuing education,2002,1997.6
caching technologies for web applications,laser-produced ion streams useful for technological applications,c mohan,j wolowski;j badziak;fp boody;s gammino;k,vldb,proc . 28th eclim,2001,1997.6
theory of answering queries using views,answering queries with aggregation using views,a halevy,d srivastava;s dar;hv jagadish;ay levy,sigmod record,vldb,2000,1996
temporal database system implementations,the coral deductive database system .,m bÑ–hlen,acms anthology;p edition,sigmod record,,1995,1997.6
query caching and optimization in distributed mediator systems,query scheduling and optimization in parallel and multimedia databases,s adali;k candan;y papakonstantinou;v subrahmanian,mn garofalakis,sigmod conference,,1996,1998
aquery : query language for ordered data;optimization techniques;and experiments,a query language for multidimensional arrays : design;implementation;and optimization techniques,a lerner;d shasha,l leonid;m ronaÃ¢ ? Â¦,vldb,proceedings of the 1996 acm sigmod international conference & hellip,2003,1997.6
niagaracq : a scalable continuous query system for internet databases,wangy ( 2000 ) niagaracq : a scalable continuous query system for internet databases,j chen;d dewitt;f tian;y wang,j chen;dt dewitt;f tian,sigmod conference,proceedings of the acm sigmod,2000,1997.6
relational data sharing in peer-based data management systems,emerging data management systems : close-up and personal,b ooi;y shu;k tan,y ioannidis,sigmod record,proceedings of the 14th acm international conference on & hellip,2003,2005
scalable parallel data mining for association rules,efficient parallel data mining for association rules,e han;g karypis;v kumar,js park;ms chen;ps yuÃ¢ ? Â¦,sigmod conference,,1997,1997.6
mining fuzzy association rules in databases,mining association rules between sets of items in large databases,c kuok;a fu;m wong,ra as941;t imielinksi;a swami,sigmod record,proc . of the acm sigmod intÃ¢ ?? l conf . on management of data;& hellip,1998,1997.6
xl : a platform for web services,parlay x web services,d florescu;a grÑœnhagen;d kossmann;s rost,h lofthouse;mj yates;r stretch,sigmod conference,bt technology journal,2002,2004
fast algorithms for mining association rules in large databases,mining association rules from semi-structured data,r agrawal;r srikant,k maruyama;k uehara,vldb,icdcs workshop of knowledge discovery and data mining in the & hellip,1994,2000
surfing wavelets on streams : one-pass summaries for approximate aggregate queries,s. muthukrishnan;and mj strauss;Ã¢ ?? surfing wavelets on streams : one-pass summaries for approximate,a gilbert;y kotidis;s muthukrishnan;m strauss,ac gilbert;y kotidis,vldb,proc . very large data bases conf,2001,1997.6
cache investment : integrating query optimization and distributed data placement,cache investment : integrating query optimization and distributed data placement,d kossmann;m franklin;g drasch,d kossmann;mj franklin;g drasch,acm trans . database syst .,acm transactions on database systems,2000,2000
database technologies for electronic commerce,enabling technologies for electronic commerce,r agrawal;r srikant;y xu,g kappel;w retschitzegger;b schrÃ£ Â¶ der,vldb,,2002,1997.6
